영문명,국문명
GHOST CELL,고스트셀
carole&park,까롤앤파크
Good on,굿온
GGul.Gun.Dal,꿀.건.달
0525,공오이오
Gimi,김미
게릴라,게릴라
COLOCOLO,고로고로
Gastroback,가스트로박
GOOSE ISLAND_hoppy bathday,구스 아일랜드 호피 배쓰데이
grayish J,그레이시제이
-,고래집
GREEN MOTION,그린 모션
KWONSEOK,권석
couture,꾸띠르
GREYHOURS,그레이아워스
greenwindmeal,그린윈드밀
grunden,글런든
Kim Bo Sung's Ui Ri Bar,김보성의 의리포차
CASTELBAJAC FOOTWEAR,까스텔바작 풋웨어
comme-des-garcons,꼼데가르송
COMME DES GARCONS,꼼데가르송
healthistiming,건강은 타이밍이다
CARAN d'ACHE,까렌다쉬
GARNIR,가르니르
Kumho,금호
kukka,꾸까
KENZO,겐조
Kdnavien,경동나비엔
Gachi.,가치.
"91,2",구일이
Golden Goose,골든구스
Chloé,끌로에
KIMPARKS LAB,김박스랩
GAKKA2,가까이
goodtee,굿티
kiturami,귀뚜라미
COMSONNOT,꼼소넛
COLOCOLO,고로고로
Guitbol,귓볼
GRANOLOGY,그라놀로지
090Factory,공구공팩토리
GRAFT,그래프트
GRAEF,그라프
Gopro,고프로
CHLOE,끌로에
GOSARI,고사리
cote,꼬뜨
KEUNI,근니
GYEON quartz,기온쿼츠
GGul.Gun.Dal,꿀.건.달
GEAR3,기어쓰리
goodal,구달
GREY THE SCENT,그레이 더 센트
KENZO,겐조
GUCCI,구찌
GLYPH,글리프
GUCCI,구찌
gosnuk,고즈넉
Green Atelier,그린아뜰리에
gainsboro,게인스보로
GOLDEN GOOSE,골든구스
GRAFIKUS,그래피커스
GOALSTUDIO,골스튜디오
Gouache,구아슈
GETMEBLING,겟미블링
GONI atelier,고니아뜰리에
Gray hue,그레이휴
CPGN,꼼파뇨
GODSHOP,갓샵
GranCrew,그랑크루
GRID SEOUL,그리드 서울
geulwoll,글월
GREY MANSION,그레이맨션
GURM BY H,구름바이에이치
collagevacance,꼴라주바캉스
