국문명,영문명
가로,GARO
가마스,GAMAS
가먼트레이블,GARMENTLABLE
가민,Garmin
객,GAC
겐지아이웨어,GENZIE
고마워,gomawo
고저,GOZER
고콧,GO-KOT
골드파일,GOLD PFEIL
골든아울,GOLDEN OWL
골든펫,GOLDENPET
공백,GONGBAEK
굿라이프웍스,Goodlifeworks
그라미치,GRAMICCI
그랑스포스,GRANSFORS
그래니트기어,GRANITE GEAR
그레고리,GREGORY
그레이굿즈,graygoods
그레이브볼트,Gravevault
그롭스,GROFS
글래드핸드 컴파니,GLAD HAND Co.
글런든,grunden
글리머,GLIMMER
글림퍼,grimper
기타,ETC
긱타,GEEKTA
길단,GILDAN
길프,Guil.F
까트린,CATTLINE
꾸올레,CUORE
나이쇼,NAISHO
나이키,NIKE
나이키,nike
나인윅스,nineweeks
나잇러브솔트,nightlovesalt
나파피리,NAPAPIJRI
날호,Nalho
내셔널 퍼블리시티,NATIONAL PUBLICITY
내추럴라이저,NATURALIZER
너트앤볼트,NUTANDBOLT
널,NUL
네임즈,names
노네임니드,NONAMENEED
노드스튜디오,NORD STUDIO
노르딕아일랜드,NORDICISLAND
노마딕,NOMADIC
노스씨클로딩,NORTH SEA CLOTHING
노스페이스,northface
노스페이스,NORTHFACE
노우트,nought
노운,noun
노이스트,NOIXTE
노이어,noirer
노이지,NOIZY
노이커먼,NOYCOMMON
노즈아이,NOZEYE
노클,NOCLE
노패스트노퓨쳐,NOPASTNOFUTURE
논논,NONENON
누아드비뉴,NOIR de VIGNE
누아믹,nueahmik
누엔타,NUENTA
누퍼,NUPER
뉴발란스,NEW BALANCE
뉴발란스,new blance
뉴스텔지아,Newstalgia
니달 캐시미어,Nidal CASHMERE
니어러,Nearer
니커보커,Knickerbocker
니틀리,knitly
닉앤니콜,NICK&NICOLE
다운타우너,downtowner
다이아노바,DIANOVA
다츠다츠,dotsdots
닥터마틴,DR.MARTENS
더 플러리스,The Flawless
더그레이티스트,THEGREATEST
더블린,DUBLINWARE(DLWE)
더블에이씨,AAC
더스토리,THESTORI
더에이본,the-abon
더타임이즈티킹,THETIMEISTICKING
더한올,THE HANOL
덕다이브,DUCKDIVE
덕스,DUXS
데리,DERHY
데미지니모닉,DAMAGE MNEMONIC
데이다프,DAYDAF
데호,DEHO
델디오,DELDIO
뎃츠잇,THAT'S IT
도미넌트,DOMINANT
돈키,DONKIE
돌핀웨이브,DOLPHINWAVE
돔바,DOMBA
두마딴,DU MATIN
듀테로,DEUTERO
드라이프,DRIFE
드림월드,DreamWorld
드제메르,DZEMER
드퐁,defond
드하모니,DELHARMONIE
디그낙12,D.GNAK12
디그레,DGRE
디미트리블랙,DIMITRIBLACK
디센디스,DISENDIS
디스커버리,Discovery
디스펑트,DYSFUNCT
디어쿠스틱,D acoustics
디어피어,dearpeer
디얼스,THE EARTH
디쿠마,Dcuma
디파르베,dfarbe
딘스,DEANS
라드앤파,RADANDFAR
라디네오,RADINEO
라르고,LARGO
라모랭,Ramolin
라미네즈,LAMINEZ
라반타노,LA VANTANO
라벨로그,Labelogue
라부아뜨,La Boite
라비스타,LAVISTA
라온,ra_On
라운지 에이피티,Lounge APT
라이온스틸,LIONSTEEL
라이크 캔디,LIKE CANDY
라이트문로65,LIGHT MOON RO 65
라이프아카이브,LIFE Archive
라인 프렌즈,Line Friends
라코스테,LACOSTE
라코스테,LACOSTE
락포트,ROCKPORT
락피쉬,ROCKFISH
락피쉬웨더웨어,ROCKFISH WEATHERWEAR
란주,RANJU
래셔널,RATIONAL
랩101,LAB101
러그즈,Lugz
러기드하우스,RUGGED HOUSE
러닝하이,RUNNING HIGH
러디칙스,ruddycheeks
러브웨이브,LOVEWAVE
러브참,LOVE CHARM
러프사이드,rough side
럭키플래닛,LUCKY PLANET
레미유,LEMIU
레보,REVO
레아라킨,rhearockin
레이디볼륨,LADYVOLUME
레이어 유니온,LAYER UNION
레이지던,Lazydawn
레이지선데이,LAZYSUNDAY
레인보우샌들,rainbow sandals
레터프롬문,LETTER FROM MOON
레테르코모,Letter_como
레투,LE2
레프트,Left
로로몬도,LOROMONDO
로맨틱무브,Romantic Move
로스트가든,LOSTGARDEN
로에스,RROES
로에일,LOEIL
로엘,loel
로우로우,RAWROW
로우로우 (트렁크),RAWROW (TRUNK)
로이체,ROYCHE
로즈필드,ROSEFIELD
로컬스온리,localsonly
로케이트,LOCATE
로켓북,Rocket Book
로희어패럴,ROHEE APPAREL
론다스튜디오,Ronda Studios
론론,RONRON
론트,LOHNT
롱베케이션,Long vacation
롸논,rwanontanto
루므,roomu
루시르주,Lucir zu
