6397,육삼구칠
Ader Error,아더 에러
AGOLDE,에이골디
Aimons,에몽
Alain Barsch,알란 바쉬
Alexa Chung,알렉사 청
ALR,에이엘알
Amomento,아모멘토
Anne Vest Furhouse,앤 베스트 퍼하우스
AS65,에이에스65
Aspesi,아스페시
Auralee,오라리
B SIDES,비 사이즈
Barena Venezia,바레나 베네치아
BASERANGE,베이스랜지
Batsheva,밧쉬바
BEAKER,비이커
BIRTHDAYSUIT,벌스데이수트
Black Crane,블랙 크레인
Bliss And Mischief,블리스 앤 미스치프
Blue Blue Japan,블루블루 재팬
BLUR 1.0,블러
BODE,보디
Bouton,브통
B_,비 언더바
CAYL,케일
Chinti & Parker,친티앤파커
Closed,클로즈드
Collina Strada,콜리나 스트라다
Coperni,코페르니
Crista Seya,크리스타 세야
Current Elliott,커런 엘리엇
Danton,단톤
Demy Lee,데미 리
Denimist,데니미스트
Earthkiss,어스키스
Eckhaus Latta,에크하우스 라따
Eenk,잉크
Eftychia,에프티히아
ENFOLD,엉폴드
ENZO BLUES,엔조블루스
Etre Cecile,에뜨르 세실
EXTREME CASHMERE,익스트림 캐시미어
Forte Forte,포르테 포르테
Frame,프레임
Gallego Desportes,가예고 데스포르테
GANNI,간니
Goen.J,고엔제이
Handvaerk,핸드베르크
Hansel From Basel,한셀 프롬 바셀
Happening,해프닝
Helmut Lang,헬무트랭
Hidden Forest Market,히든 포레스트 마켓
Holiday Boileau,홀리데이 부알로
HOWLIN,하울린
IENKI IENKI,이엔키 이엔키
James Perse,제임스펄스
JE NE SAIS QUOI,주느세콰
Jour.Ne,주네
Julien David,줄리앙 데이비드
Katharine Hamnett,캐서린햄넷
Khris Joy,크리스조이
KIJUN,키준
KLOKE,클로크
kompakt Record Bar,콤팩트 레코드 바
KWAIDAN EDITIONS,콰이단 에디션즈
Lauren Manoogian,로렌 마누지안
LE17SEPTEMBRE,르917
LEONE,레오네
Liberty,리버티
Low Classic,로우클래식
LVIR,르비에르
Moia,모이아
MONOGRAM,모노그램
Morgano,모르가노
Name,네임
Nanushka,나누슈카
NEEDLES,니들즈
Neul,늘
Nicholson & Nicholson,니콜슨 앤 니콜슨
Nili Lotan,닐리로탄
Nohant,노앙
Noritake,노리타케
Nothing Written,낫띵리튼
Onar,오나스튜디오
Opening Ceremony,오프닝세레모니
ORCIVAL,오르치발
Orion For BEAKER,오리온 포 비이커
Our Legacy,아워레거시
Paloma Wool,팔로마 울
Patou,파투
PLYS,플라이스
PRISCAVera,프리스카베라
R13,알썰틴
Rachel Comey,레이첼 코미
RE DONE,리던
Recto,렉토
